MaxFitness,MeanFitness,StdDevFitness,MaxComplexity,MeanComplexity,StdDevComplexity,MeanSpeciesChampFitness,StdDevSpeciesChampFitness,MinSpeciesSize,MaxSpeciesSize,SpeciesCount,Generation
1.379,1.08659,0.104273759,622,618.88,2.28595713,1.20445,0.087176674,1,17,10,67
1.379,1.07334,0.122448007,622,619.24,2.421239352,1.18755,0.137538985,1,12,10,68
1.379,1.05978,0.127254436,623,619.3,2.410394159,1.2067,0.08128044,1,21,10,69
1.379,1.07613,0.112651845,623,619.28,2.433433788,1.2031,0.083603469,1,14,10,70
1.379,1.08107,0.104356936,623,619.88,2.635450626,1.19235,0.121196339,1,16,10,71
1.379,1.0717,0.128808113,623,619.66,2.717425252,1.2298,0.085626281,4,6,10,72
1.379,1.08523,0.109922528,623,619.86,2.735031993,1.2389,0.076671964,5,5,10,73
1.379,1.08965,0.116184562,624,619.8,2.792848009,1.2441,0.071149069,4,6,10,74
1.379,1.11256,0.112119385,624,619.84,2.708209741,1.24965,0.068776104,5,5,10,75
1.379,1.10157,0.116302021,623,619.72,2.764344407,1.25095,0.06819144,4,6,10,76
1.379,1.10411,0.108646826,624,619.74,2.769909746,1.25005,0.069382076,1,10,10,77
1.379,1.07645,0.130683559,623,619.24,2.565618834,1.2577,0.061722038,2,10,10,78
1.379,1.09337,0.11547947,623,619.68,2.656614387,1.2396,0.076802604,2,10,10,79
1.379,1.06371,0.137645054,622,619.22,2.532113742,1.2253,0.108707911,1,10,10,80
1.379,1.10556,0.116338929,623,619.9,2.640075756,1.24445,0.075567668,1,10,10,81
1.379,1.10927,0.115176569,623,619.22,2.625185708,1.25275,0.061237346,1,10,10,82
1.379,1.10504,0.105613628,623,619.68,2.517459036,1.25735,0.056546905,2,10,10,83
1.379,1.10873,0.107619757,623,619.34,2.542518437,1.25735,0.056546905,4,6,10,84
1.379,1.09878,0.107803903,623,619.1,2.62488095,1.2466,0.061534868,4,6,10,85
1.379,1.08774,0.126593572,622,619.16,2.579612374,1.25245,0.056461691,5,5,10,86
1.379,1.07647,0.117499932,623,619.2,2.569046516,1.25245,0.056461691,5,5,10,87
1.379,1.08664,0.125220966,623,619.18,2.620610616,1.26195,0.056259421,4,6,10,88
1.379,1.08978,0.122677714,623,619.22,2.427261832,1.26195,0.056259421,4,6,10,89
1.379,1.08464,0.123764132,623,619.38,2.43220065,1.24795,0.081631627,1,9,10,90
1.379,1.08282,0.117689242,623,619.68,2.469331893,1.24415,0.067534454,1,9,10,91
1.379,1.09774,0.114987792,622,619.26,2.415036232,1.2546,0.059143808,1,10,10,92
1.379,1.0909,0.11388402,623,619.64,2.463818175,1.25155,0.064298697,2,10,10,93
1.379,1.10158,0.106172283,623,619.28,2.457966639,1.2168,0.09535544,1,11,10,94
1.379,1.08913,0.109494192,623,620.24,2.421239352,1.21915,0.075893033,1,11,10,95
1.379,1.0846,0.115470819,623,619.8,2.521904043,1.22315,0.072488292,1,10,10,96
1.379,1.07465,0.110613889,623,620.32,2.580232548,1.21465,0.082674376,1,9,10,97
1.379,1.09231,0.106109042,623,619.88,2.438360105,1.2231,0.071160663,4,6,10,98
1.379,1.08336,0.11293972,623,619.9,2.5,1.231,0.069290331,4,6,10,99
1.379,1.10011,0.105725176,1208,631.74,82.36038125,1.2204,0.078295211,1,10,10,100
1.379,1.08054,0.12413923,1209,679.36,176.2927974,1.2103,0.091295728,1,10,10,101
1.379,1.10089,0.106740119,1208,668,159.2482339,1.22205,0.077818202,1,10,10,102
1.379,1.08051,0.103653871,1209,679.44,176.328802,1.2109,0.105501611,1,15,10,103
1.379,1.08033,0.103979787,623,621.24,1.726962652,1.22395,0.074526321,1,16,10,104
1.379,1.0858,0.109753405,623,620.48,1.91039263,1.2316,0.064198053,1,16,10,105
1.379,1.08047,0.106866291,635,621.58,2.538424708,1.2257,0.062159553,1,16,10,106
1.379,1.07402,0.100124321,623,620.8,1.959591794,1.19645,0.085863977,1,15,10,107
1.379,1.08898,0.096841311,624,621.5,1.791647287,1.19185,0.101379251,1,25,10,108
